iter	Passed	Remaining
691	4469	14907
692	4476	14901
693	4480	14888
694	4487	14882
695	4493	14875
696	4499	14867
697	4506	14861
698	4512	14854
699	4517	14843
700	4523	14835
701	4531	14833
702	4538	14829
703	4545	14825
704	4553	14821
705	4559	14813
706	4565	14808
707	4573	14805
708	4580	14800
709	4587	14795
710	4593	14788
711	4600	14784
712	4607	14779
713	4614	14773
714	4620	14766
715	4626	14758
716	4632	14751
717	4639	14746
718	4646	14740
719	4652	14734
720	4659	14728
721	4665	14719
722	4671	14711
723	4678	14708
724	4685	14702
725	4692	14696
726	4697	14687
727	4704	14681
728	4710	14675
729	4718	14671
730	4723	14660
731	4729	14655
732	4736	14648
733	4742	14642
734	4748	14633
735	4754	14624
736	4759	14614
737	4767	14613
738	4774	14607
739	4781	14601
740	4788	14598
741	4795	14593
742	4803	14590
743	4808	14580
744	4815	14577
745	4822	14571
746	4828	14563
747	4835	14557
748	4842	14552
749	4848	14544
750	4854	14538
751	4859	14528
752	4866	14523
753	4875	14522
754	4881	14516
755	4888	14509
756	4895	14504
757	4902	14499
758	4908	14493
759	4914	14485
760	4920	14477
761	4927	14472
762	4935	14470
763	4942	14465
764	4948	14458
765	4955	14452
766	4962	14446
767	4968	14439
768	4975	14435
769	4981	14426
770	4987	14419
771	4993	14411
772	5000	14405
773	5007	14400
774	5013	14393
775	5019	14386
776	5026	14379
777	5032	14372
778	5037	14363
779	5044	14358
780	5050	14350
781	5057	14344
782	5062	14335
783	5070	14330
784	5078	14328
785	5085	14324
786	5092	14318
787	5098	14311
788	5104	14304
789	5112	14301
790	5118	14294
791	5125	14289
792	5133	14285
793	5139	14279
794	5145	14272
795	5152	14266
796	5158	14259
797	5165	14253
798	5171	14246
799	5177	14238
800	5184	14232
801	5191	14226
802	5197	14220
803	5203	14212
804	5209	14205
805	5215	14196
806	5221	14188
807	5227	14181
808	5234	14176
809	5240	14168
810	5246	14160
811	5253	14154
812	5260	14150
813	5267	14145
814	5274	14141
815	5280	14134
816	5287	14127
817	5293	14119
818	5299	14113
819	5306	14108
820	5313	14101
821	5321	14099
822	5327	14092
823	5335	14088
824	5341	14082
825	5348	14077
826	5354	14068
827	5360	14060
828	5369	14061
829	5375	14054
830	5382	14048
831	5389	14043
832	5395	14036
833	5402	14031
834	5410	14027
835	5418	14026
836	5425	14021
837	5433	14018
838	5439	14011
839	5445	14002
840	5452	13996
841	5458	13989
842	5465	13984
843	5472	13978
844	5478	13972
845	5484	13964
846	5491	13958
847	5497	13950
848	5504	13945
849	5511	13941
850	5518	13934
851	5525	13929
852	5532	13924
853	5538	13918
854	5545	13912
855	5553	13908
856	5560	13905
857	5567	13898
858	5573	13891
859	5580	13885
860	5587	13882
861	5594	13874
862	5601	13870
863	5607	13863
864	5613	13854
865	5619	13847
866	5626	13842
867	5633	13836
868	5639	13829
869	5645	13822
870	5651	13814
871	5657	13807
872	5665	13802
873	5671	13794
874	5676	13786
875	5682	13778
876	5689	13773
877	5696	13767
878	5703	13762
879	5710	13757
880	5717	13751
881	5724	13745
882	5730	13739
883	5736	13730
884	5742	13724
885	5749	13718
886	5756	13713
887	5764	13710
888	5771	13703
889	5776	13695
890	5783	13689
891	5789	13682
892	5796	13677
893	5803	13670
894	5809	13663
895	5814	13654
896	5820	13647
897	5827	13641
898	5836	13639
899	5842	13633
900	5849	13627
901	5856	13622
902	5863	13616
903	5869	13609
904	5875	13600
905	5881	13593
906	5888	13587
907	5894	13581
908	5900	13573
909	5907	13567
910	5913	13561
911	5921	13556
912	5927	13549
913	5935	13546
914	5942	13541
915	5949	13535
916	5956	13530
917	5963	13524
918	5969	13517
919	5975	13509
920	5983	13506
921	5989	13499
922	5997	13497
923	6004	13490
924	6011	13486
925	6018	13480
926	6025	13474
927	6032	13469
928	6039	13463
929	6045	13456
930	6051	13448
931	6057	13441
932	6064	13434
933	6070	13428
934	6076	13420
935	6083	13415
936	6091	13411
937	6097	13404
938	6104	13398
939	6110	13391
940	6117	13385
941	6124	13379
942	6131	13374
943	6137	13367
944	6144	13361
945	6149	13352
946	6157	13347
947	6164	13342
948	6170	13335
949	6177	13329
950	6184	13324
951	6190	13317
952	6195	13308
953	6202	13302
954	6209	13296
955	6215	13289
956	6221	13282
957	6227	13273
958	6233	13266
959	6240	13260
960	6247	13255
961	6252	13246
962	6259	13240
963	6266	13235
964	6273	13228
965	6279	13222
966	6286	13217
967	6294	13213
968	6300	13206
969	6307	13200
970	6314	13195
971	6321	13188
972	6327	13182
973	6334	13175
974	6341	13170
975	6347	13164
976	6354	13157
977	6360	13149
978	6366	13142
979	6372	13134
980	6378	13127
981	6385	13121
982	6391	13114
983	6398	13108
984	6404	13101
985	6410	13093
986	6416	13085
987	6422	13078
988	6429	13072
989	6436	13067
990	6443	13061
991	6450	13056
992	6456	13049
993	6463	13044
994	6470	13038
995	6478	13034
996	6486	13031
997	6492	13024
998	6499	13018
999	6506	13013
1000	6511	13004
1001	6518	12997
1002	6525	12992
1003	6531	12985
1004	6538	12979
1005	6545	12974
1006	6552	12967
1007	6559	12962
1008	6565	12955
1009	6571	12948
1010	6579	12944
1011	6585	12937
1012	6593	12933
1013	6599	12924
1014	6606	12919
1015	6611	12911
1016	6618	12904
1017	6625	12899
1018	6632	12894
1019	6639	12888
1020	6646	12882
1021	6652	12876
1022	6659	12868
1023	6665	12862
1024	6673	12858
1025	6679	12851
1026	6688	12849
1027	6695	12844
1028	6703	12839
1029	6709	12833
1030	6717	12829
1031	6723	12821
1032	6731	12817
1033	6737	12811
1034	6745	12807
1035	6754	12804
1036	6762	12800
1037	6768	12794
1038	6775	12787
1039	6782	12782
1040	6789	12777
1041	6796	12770
1042	6803	12764
1043	6810	12760
1044	6815	12751
1045	6821	12743
1046	6828	12736
1047	6835	12731
1048	6842	12726
1049	6848	12718
1050	6855	12712
1051	6861	12705
1052	6868	12699
1053	6874	12692
1054	6882	12687
1055	6889	12683
1056	6896	12676
1057	6903	12671
1058	6910	12666
1059	6917	12660
1060	6923	12653
1061	6929	12646
1062	6935	12637
1063	6942	12631
1064	6949	12626
1065	6956	12620
1066	6962	12613
1067	6968	12606
1068	6974	12598
1069	6981	12592
1070	6988	12587
1071	6993	12578
1072	7001	12573
1073	7008	12567
1074	7015	12561
1075	7021	12555
1076	7027	12547
1077	7033	12540
1078	7040	12535
1079	7046	12527
1080	7052	12519
1081	7058	12512
1082	7064	12504
1083	7071	12498
1084	7078	12492
1085	7085	12487
1086	7092	12482
1087	7100	12477
1088	7105	12469
1089	7112	12462
1090	7118	12456
1091	7125	12449
1092	7131	12442
1093	7137	12435
1094	7144	12429
1095	7150	12421
1096	7158	12417
1097	7164	12410
1098	7170	12403
1099	7176	12395
1100	7181	12386
1101	7188	12381
1102	7195	12375
1103	7201	12368
1104	7208	12361
1105	7214	12355
1106	7221	12349
1107	7227	12341
1108	7233	12333
1109	7240	12328
1110	7247	12322
1111	7253	12315
1112	7260	12310
1113	7267	12303
1114	7273	12296
1115	7279	12289
1116	7285	12282
1117	7291	12274
1118	7298	12269
1119	7305	12263
1120	7312	12257
1121	7318	12250
1122	7324	12242
1123	7332	12238
1124	7338	12231
1125	7345	12224
1126	7352	12219
1127	7359	12213
1128	7365	12206
1129	7371	12199
1130	7379	12194
1131	7385	12187
1132	7391	12179
1133	7398	12174
1134	7405	12168
1135	7412	12162
1136	7418	12155
1137	7425	12149
1138	7431	12142
1139	7437	12135
1140	7444	12128
1141	7450	12121
1142	7456	12114
1143	7463	12108
1144	7469	12100
1145	7476	12095
1146	7482	12088
1147	7488	12081
1148	7496	12075
1149	7502	12068
1150	7508	12061
1151	7514	12054
1152	7521	12049
1153	7527	12041
1154	7534	12035
1155	7540	12027
1156	7547	12022
1157	7555	12017
1158	7561	12010
1159	7567	12003
1160	7572	11995
1161	7579	11988
1162	7586	11982
1163	7592	11975
1164	7598	11968
1165	7604	11960
1166	7611	11954
1167	7618	11950
1168	7625	11944
1169	7632	11937
1170	7637	11929
1171	7644	11922
1172	7651	11918
1173	7658	11912
1174	7666	11907
1175	7671	11898
1176	7676	11890
1177	7683	11884
1178	7690	11877
1179	7696	11871
1180	7704	11866
1181	7711	11860
1182	7716	11852
1183	7723	11846
1184	7731	11841
1185	7738	11836
1186	7746	11831
1187	7753	11825
1188	7759	11818
1189	7766	11812
1190	7772	11805
1191	7778	11798
1192	7785	11791
1193	7792	11786
1194	7797	11777
1195	7804	11771
1196	7810	11764
1197	7816	11757
1198	7823	11751
1199	7830	11745
1200	7835	11737
1201	7842	11731
1202	7848	11723
1203	7855	11717
1204	7862	11711
1205	7867	11703
1206	7873	11696
1207	7881	11691
1208	7886	11683
1209	7894	11679
1210	7902	11674
1211	7908	11666
1212	7915	11660
1213	7921	11653
1214	7926	11645
1215	7932	11638
1216	7939	11631
1217	7945	11624
1218	7952	11618
1219	7958	11611
1220	7965	11606
1221	7971	11598
1222	7976	11590
1223	7985	11586
1224	7992	11580
1225	7999	11575
1226	8006	11569
1227	8014	11565
1228	8022	11560
1229	8028	11553
1230	8034	11546
1231	8043	11542
1232	8050	11536
1233	8058	11532
1234	8065	11526
1235	8073	11522
1236	8080	11517
1237	8088	11511
1238	8095	11505
1239	8101	11499
1240	8108	11493
1241	8114	11486
1242	8120	11479
1243	8127	11472
1244	8132	11463
1245	8137	11455
1246	8144	11449
1247	8152	11444
1248	8158	11437
1249	8166	11432
1250	8173	11427
1251	8181	11422
1252	8187	11415
1253	8193	11408
1254	8199	11401
1255	8205	11393
1256	8212	11387
1257	8219	11381
1258	8224	11373
1259	8230	11366
1260	8236	11358
1261	8241	11350
1262	8249	11345
1263	8255	11337
1264	8262	11332
1265	8269	11326
1266	8276	11321
1267	8283	11314
1268	8290	11308
1269	8296	11301
1270	8302	11294
1271	8309	11288
1272	8315	11281
1273	8321	11273
1274	8327	11267
1275	8334	11260
1276	8340	11253
1277	8347	11247
1278	8354	11241
1279	8360	11234
1280	8366	11227
1281	8373	11221
1282	8380	11214
1283	8386	11208
1284	8393	11201
1285	8399	11195
1286	8407	11190
1287	8415	11185
1288	8421	11178
1289	8427	11171
1290	8434	11165
1291	8441	11160
1292	8448	11153
1293	8453	11145
1294	8459	11137
1295	8467	11132
1296	8474	11127
1297	8482	11123
1298	8489	11116
1299	8496	11110
1300	8503	11104
1301	8510	11098
1302	8516	11091
1303	8521	11083
1304	8528	11077
1305	8535	11070
1306	8542	11065
1307	8548	11058
1308	8554	11051
1309	8562	11045
1310	8568	11039
1311	8575	11033
1312	8582	11027
1313	8588	11020
1314	8596	11014
1315	8602	11007
1316	8609	11001
1317	8614	10994
1318	8621	10987
1319	8628	10982
1320	8636	10977
1321	8642	10970
1322	8649	10963
1323	8657	10958
1324	8663	10951
1325	8669	10944
1326	8676	10938
1327	8682	10930
1328	8689	10925
1329	8696	10919
1330	8701	10911
1331	8709	10906
1332	8715	10898
1333	8721	10892
1334	8727	10884
1335	8732	10876
1336	8737	10868
1337	8744	10861
1338	8750	10854
1339	8756	10847
1340	8763	10841
1341	8768	10833
1342	8774	10825
1343	8779	10817
1344	8786	10811
1345	8792	10804
1346	8798	10797
1347	8805	10791
1348	8811	10783
1349	8817	10777
1350	8825	10772
1351	8832	10766
1352	8839	10759
1353	8845	10752
1354	8851	10745
1355	8857	10738
1356	8864	10732
1357	8870	10726
1358	8877	10719
1359	8884	10713
1360	8891	10707
1361	8897	10700
1362	8904	10693
1363	8910	10686
1364	8916	10680
1365	8924	10675
1366	8930	10667
1367	8936	10661
1368	8943	10654
1369	8949	10648
1370	8955	10641
1371	8961	10633
1372	8966	10625
1373	8973	10619
1374	8980	10613
1375	8986	10606
1376	8993	10599
1377	8998	10592
1378	9005	10586
1379	9013	10580
1380	9019	10573
1381	9025	10567
1382	9031	10559
1383	9038	10553
1384	9045	10547
1385	9051	10540
1386	9058	10534
1387	9064	10527
1388	9071	10520
1389	9078	10515
1390	9084	10508
1391	9090	10501
1392	9096	10493
1393	9102	10486
1394	9108	10480
1395	9116	10474
1396	9123	10469
1397	9130	10462
1398	9136	10455
1399	9143	10449
1400	9149	10442
1401	9155	10435
1402	9163	10430
1403	9170	10424
1404	9177	10418
1405	9183	10411
1406	9191	10406
1407	9197	10398
1408	9203	10392
1409	9210	10386
1410	9216	10379
1411	9223	10372
1412	9228	10365
1413	9235	10359
1414	9241	10351
1415	9247	10344
1416	9254	10338
1417	9260	10331
1418	9267	10325
1419	9274	10319
1420	9281	10313
1421	9288	10307
1422	9294	10300
1423	9301	10294
1424	9307	10287
1425	9313	10280
1426	9319	10273
1427	9326	10266
1428	9333	10261
1429	9341	10256
1430	9348	10249
1431	9354	10243
1432	9361	10236
1433	9367	10229
1434	9374	10223
1435	9381	10217
1436	9386	10209
1437	9392	10202
1438	9398	10195
1439	9404	10188
1440	9410	10180
1441	9417	10174
1442	9423	10167
1443	9430	10161
1444	9437	10155
1445	9444	10149
1446	9450	10143
1447	9456	10136
1448	9463	10129
1449	9471	10124
1450	9477	10117
1451	9483	10110
1452	9490	10104
1453	9496	10096
1454	9502	10090
1455	9508	10082
1456	9514	10075
1457	9521	10070
1458	9528	10063
1459	9534	10057
1460	9542	10051
1461	9548	10045
1462	9555	10038
1463	9560	10031
1464	9566	10024
1465	9573	10017
1466	9579	10010
1467	9586	10004
1468	9592	9996
1469	9599	9991
1470	9605	9984
1471	9614	9980
1472	9620	9973
1473	9628	9967
1474	9635	9961
1475	9641	9955
1476	9647	9947
1477	9653	9940
1478	9659	9933
1479	9666	9927
1480	9674	9922
1481	9681	9916
1482	9688	9910
1483	9694	9903
1484	9700	9896
1485	9706	9889
1486	9712	9882
1487	9720	9876
1488	9725	9869
1489	9732	9863
1490	9739	9856
1491	9745	9849
1492	9751	9843
1493	9757	9836
1494	9765	9831
1495	9771	9824
1496	9778	9818
1497	9785	9811
1498	9791	9804
1499	9798	9798
1500	9805	9792
1501	9812	9786
1502	9818	9779
1503	9825	9773
1504	9832	9767
1505	9839	9761
1506	9846	9754
1507	9851	9747
1508	9858	9740
1509	9864	9733
1510	9870	9727
1511	9876	9720
1512	9882	9712
1513	9889	9706
1514	9896	9700
1515	9902	9693
1516	9908	9686
1517	9915	9679
1518	9921	9673
1519	9927	9665
1520	9934	9660
1521	9941	9654
1522	9948	9648
1523	9954	9641
1524	9960	9633
1525	9966	9626
1526	9972	9620
1527	9978	9612
1528	9984	9606
1529	9991	9599
1530	9998	9593
1531	10004	9586
1532	10010	9579
1533	10015	9571
1534	10022	9565
1535	10029	9559
1536	10035	9552
1537	10041	9545
1538	10048	9539
1539	10056	9533
1540	10062	9527
1541	10069	9521
1542	10076	9515
1543	10083	9508
1544	10088	9500
1545	10095	9494
1546	10102	9488
1547	10108	9481
1548	10116	9476
1549	10123	9470
1550	10131	9464
1551	10137	9458
1552	10143	9451
1553	10149	9444
1554	10156	9438
1555	10163	9431
1556	10170	9425
1557	10177	9419
1558	10182	9412
1559	10188	9404
1560	10194	9397
1561	10201	9392
1562	10208	9385
1563	10215	9379
1564	10221	9372
1565	10227	9365
1566	10233	9358
1567	10239	9351
1568	10246	9345
1569	10252	9338
1570	10258	9331
1571	10266	9325
1572	10272	9319
1573	10279	9312
1574	10286	9306
1575	10292	9299
1576	10298	9292
1577	10304	9286
1578	10311	9279
1579	10319	9274
1580	10326	9267
1581	10332	9261
1582	10339	9255
1583	10344	9247
1584	10350	9240
1585	10357	9234
1586	10365	9228
1587	10371	9221
1588	10378	9215
1589	10384	9209
1590	10391	9202
1591	10398	9196
1592	10404	9189
1593	10410	9182
1594	10417	9176
1595	10423	9169
1596	10430	9163
1597	10437	9157
1598	10443	9150
1599	10450	9144
1600	10456	9137
1601	10462	9129
1602	10468	9123
1603	10475	9116
1604	10481	9110
1605	10488	9103
1606	10494	9097
1607	10501	9090
1608	10506	9083
1609	10514	9077
1610	10520	9070
1611	10528	9065
1612	10534	9058
1613	10541	9052
1614	10547	9045
1615	10553	9038
1616	10559	9031
1617	10565	9024
1618	10572	9018
1619	10578	9011
1620	10584	9004
1621	10593	8999
1622	10598	8992
1623	10605	8985
1624	10610	8978
1625	10617	8972
1626	10623	8965
1627	10631	8959
1628	10636	8952
1629	10643	8945
1630	10649	8938
1631	10654	8931
1632	10661	8924
1633	10667	8917
1634	10674	8911
1635	10680	8904
1636	10687	8898
1637	10696	8894
1638	10702	8887
1639	10709	8881
1640	10716	8874
1641	10722	8868
1642	10729	8861
1643	10735	8855
1644	10742	8848
1645	10748	8841
1646	10754	8834
1647	10760	8827
1648	10767	8821
1649	10773	8814
1650	10780	8808
1651	10788	8802
1652	10795	8797
1653	10801	8790
1654	10809	8784
1655	10816	8778
1656	10823	8772
1657	10829	8765
1658	10835	8758
1659	10842	8752
1660	10848	8745
1661	10855	8739
1662	10861	8732
1663	10867	8725
1664	10873	8718
1665	10879	8711
1666	10885	8704
1667	10891	8697
1668	10898	8691
1669	10904	8684
1670	10911	8678
1671	10918	8672
1672	10926	8666
1673	10931	8659
1674	10937	8651
1675	10944	8645
1676	10950	8639
1677	10956	8631
1678	10962	8625
